config = (n = 2, d = (:one_d_for_all, 40), GN = 200, time_interval = [0.0, 1.0], p_true = [[1.0, 1.0]], ic = [100.0, 100.0], num_points = 100, sample_range = 0.2, distance = Main.DynamicalSystems.log_L2_norm, model_func = Main.DynamicalSystems.define_lotka_volterra_2D_model_v3, basis = :chebyshev, precision = RationalPrecision, my_eps = 0.02, fine_step = 0.002, coarse_step = 0.02, plot_range = StepRangeLen{Float64, Base.TwicePrecision{Float64}, Base.TwicePrecision{Float64}, Int64}[-0.22:0.002:0.22, -0.22:0.002:0.22], plot_range_coarse = StepRangeLen{Float64, Base.TwicePrecision{Float64}, Base.TwicePrecision{Float64}, Int64}[-0.22:0.02:0.22, -0.22:0.02:0.22], p_center = [1.05, 0.95])


Condition number of the Vandermonde system: 4.00000000000004
L2 norm (error of approximation): 0.5351622741250043
Polynomial system:
   Number of sols: 1521
   Bezout bound: [39, 39] which is 1521
Critical points found:
447×3 DataFrame
 Row │ x1        x2        z
     │ Float64   Float64   Float64
─────┼────────────────────────────────
 174 │ 1.15302   0.829241   2.91976
 175 │ 1.23452   0.829832   2.92034
 176 │ 1.24759   0.80685    3.13015
 177 │ 1.23138   0.806687   3.13044
 178 │ 1.13822   0.805978   3.13015
 179 │ 0.850121  0.846412   2.72164
 180 │ 1.07222   0.805194   3.13237
 181 │ 0.93913   0.803484   3.13796
 182 │ 0.885939  0.80274    3.1407
 183 │ 0.863518  0.802891   3.13787
 184 │ 0.855021  0.803283   3.13392
 185 │ 0.868329  0.802797   3.13901
 186 │ 0.876535  0.802729   3.14016
 187 │ 0.893181  0.802788   3.14079
 188 │ 0.964135  0.803951   3.13566
 189 │ 1.24956   0.821763   2.99736
 190 │ 1.07829   0.805194   3.13279
 191 │ 1.16096   0.806338   3.1286
 192 │ 1.24373   0.806846   3.12991
 193 │ 1.24806   0.787212   3.29286
 194 │ 1.16558   0.786549   3.29293
 195 │ 0.850154  0.875116   2.38657
 196 │ 0.851731  0.778761   3.33472
 197 │ 0.940152  0.785073   3.29042
 198 │ 0.887045  0.784387   3.29252
 199 │ 0.863995  0.784424   3.29077
 200 │ 0.89135   0.784425   3.29249
 201 │ 0.867039  0.784372   3.29138
 202 │ 0.876142  0.784335   3.29225
 203 │ 0.960858  0.785356   3.28948
 204 │ 1.04952   0.785791   3.29162
 205 │ 1.03764   0.785826   3.29059
 206 │ 1.18503   0.786795   3.2922
 207 │ 1.24863   0.771279   3.41618
 208 │ 1.18982   0.770897   3.41555
 209 │ 0.941331  0.770226   3.40576
 210 │ 1.00478   0.770392   3.40831
 211 │ 0.862327  0.769312   3.40794
 212 │ 0.854979  0.768877   3.41079
 213 │ 0.889681  0.76978    3.40604
 214 │ 0.95698   0.770352   3.40575
 215 │ 0.85719   0.825435   2.93352
 216 │ 1.02001   0.770334   3.40966
 217 │ 1.24959   0.875924   2.41725
 218 │ 1.20595   0.771064   3.41526
 219 │ 1.21061   0.759424   3.50138
 220 │ 0.943025  0.759243   3.48734
 221 │ 0.877235  0.758768   3.48701
 222 │ 0.949417  0.75926    3.48758
 223 │ 0.856387  0.80318    3.1349
 224 │ 0.991064  0.759091   3.49121
 225 │ 1.24959   0.906174   1.98657
 226 │ 1.23819   0.798954   3.19649
 227 │ 1.22298   0.759523   3.50137
 228 │ 1.15536   0.755576   3.52592
 229 │ 1.12862   0.755587   3.52433
 230 │ 1.09922   0.755597   3.52259
 231 │ 1.06805   0.755606   3.52076
 232 │ 0.857414  0.755396   3.51031
 233 │ 0.887348  0.755645   3.51022
 234 │ 0.99103   0.755606   3.5164
 235 │ 1.02307   0.75561    3.51818
 236 │ 1.24957   0.937593   1.37806
 237 │ 1.05481   0.755609   3.52
 238 │ 1.08609   0.755602   3.52182
 239 │ 1.11676   0.755591   3.52363
 240 │ 1.17464   0.755568   3.52707
 241 │ 1.21916   0.755638   3.52908
 242 │ 1.24649   0.780213   3.3478
 243 │ 1.22846   0.78011    3.34749
 244 │ 1.12632   0.779739   3.34408
 245 │ 1.24121   0.806846   3.12974
 246 │ 1.09814   0.779793   3.34192
 247 │ 1.06864   0.779827   3.33983
 248 │ 1.01355   0.78001    3.33499
 249 │ 0.937248  0.780428   3.32698
 250 │ 0.909807  0.780383   3.32562
 251 │ 0.887955  0.780246   3.32534
 252 │ 0.859446  0.779322   3.3308
 253 │ 0.891807  0.780281   3.32531
 254 │ 0.913852  0.780396   3.32577
 255 │ 1.04004   0.779834   3.33801
 256 │ 1.05266   0.779837   3.33876
 257 │ 1.24948   0.969489   0.357298
 258 │ 1.08679   0.779811   3.34108
 259 │ 1.11918   0.779756   3.3435
 260 │ 1.1791    0.779855   3.34643
 261 │ 1.21454   0.798849   3.1958
 262 │ 1.22045   0.798839   3.19627
 263 │ 1.24228   0.787072   3.29362
 264 │ 1.08626   0.798376   3.19121
 265 │ 1.044     0.798618   3.18637
 266 │ 0.937483  0.799256   3.17386
 267 │ 0.909796  0.799151   3.17289
 268 │ 0.887631  0.798912   3.17341
 269 │ 0.85221   0.797337   3.1843
 270 │ 0.892379  0.79898    3.17316
 271 │ 0.913406  0.799175   3.17293
 272 │ 1.07046   0.798392   3.19003
 273 │ 1.0978    0.798347   3.19222
 274 │ 1.15456   0.798502   3.19471
 275 │ 1.22572   0.798823   3.19676
 276 │ 1.20082   0.765452   3.45677
 277 │ 1.23113   0.76562    3.4573
 278 │ 1.07812   0.820749   2.99407
 279 │ 0.93763   0.821806   2.97382
 280 │ 0.909735  0.821587   2.97379
 281 │ 0.887784  0.821178   2.97597
 282 │ 0.892037  0.821278   2.97535
 283 │ 0.912872  0.821628   2.97364
 284 │ 0.85063   0.783799   3.2949
 285 │ 1.00878   0.765431   3.44568
 286 │ 1.02097   0.765436   3.44635
 287 │ 1.05434   0.765436   3.44831
 288 │ 1.0865    0.765419   3.45032
 289 │ 1.11765   0.765391   3.45236
 290 │ 1.14781   0.765357   3.45437
 291 │ 1.20022   0.821384   2.99721
 292 │ 1.19729   0.82139    2.99694
 293 │ 1.0375    0.765437   3.44732
 294 │ 0.850117  1.08193    1.58779
 295 │ 1.15404   0.765349   3.4548
 296 │ 1.12781   0.76538    3.45303
 297 │ 1.09873   0.765409   3.45112
 298 │ 1.06811   0.76543    3.44917
 299 │ 0.871312  0.765304   3.43853
 300 │ 0.850562  0.768704   3.41182
 301 │ 1.09784   0.820524   2.9976
 302 │ 1.12751   0.820892   2.99639
 303 │ 1.20999   0.821347   2.99827
 304 │ 1.22545   0.821476   2.99823
 305 │ 1.24957   0.847558   2.74347
 306 │ 0.850146  1.10424    1.90776
 307 │ 0.937744  0.847383   2.71879
 308 │ 0.909704  0.846947   2.72104
 309 │ 0.888526  0.846348   2.7256
 310 │ 0.852065  0.845797   2.72836
 311 │ 0.890867  0.846427   2.72497
 312 │ 0.912139  0.847004   2.72063
 313 │ 0.850504  0.758131   3.49011
 314 │ 1.1002    0.846674   2.74016
 315 │ 1.19005   0.847142   2.74282
 316 │ 1.20875   0.84726    2.74316
 317 │ 1.16723   0.875533   2.41381
 318 │ 1.12886   0.875693   2.40787
 319 │ 1.11397   0.875815   2.4048
 320 │ 1.08788   0.875641   2.40433
 321 │ 0.850121  1.12274    2.12229
 322 │ 0.858777  0.873755   2.40483
 323 │ 0.937962  0.874995   2.39717
 324 │ 0.852382  0.874846   2.39026
 325 │ 0.852885  0.874789   2.39104
 326 │ 1.07032   0.875098   2.40942
 327 │ 1.10041   0.875772   2.40395
 328 │ 1.18874   0.875692   2.41399
 329 │ 1.12968   0.906403   1.96702
 330 │ 1.10089   0.906499   1.96161
 331 │ 1.08601   0.906404   1.9612
 332 │ 1.05751   0.905833   1.96679
 333 │ 0.969492  0.904147   1.98266
 334 │ 0.858979  0.904838   1.95672
 335 │ 0.938956  0.903899   1.98267
 336 │ 0.870025  0.903426   1.9813
 337 │ 0.851877  0.905794   1.93991
 338 │ 0.860761  0.904663   1.95984
 339 │ 0.853308  0.905536   1.94439
 340 │ 0.973789  0.904135   1.98342
 341 │ 1.03948   0.904931   1.97913
 342 │ 1.07069   0.906164   1.96312
 343 │ 1.11375   0.906501   1.9633
 344 │ 1.1392    0.906284   1.97024
 345 │ 1.16104   0.906026   1.97733
 346 │ 1.08588   0.750625   3.5572
 347 │ 1.1164    0.750624   3.55891
 348 │ 1.1459    0.750623   3.56056
 349 │ 1.23388   0.750646   3.56528
 350 │ 1.24309   0.750645   3.5658
 351 │ 1.24902   0.750624   3.56627
 352 │ 1.24874   0.750624   3.56626
 353 │ 1.23837   0.750658   3.56545
 354 │ 0.85008   1.0563     1.0826
 355 │ 1.15583   0.750622   3.56111
 356 │ 1.12894   0.750624   3.55961
 357 │ 1.09944   0.750625   3.55796
 358 │ 1.06807   0.750626   3.55621
 359 │ 1.03591   0.750626   3.55441
 360 │ 1.00439   0.750626   3.55265
 361 │ 0.974476  0.750625   3.55099
 362 │ 0.962975  0.750625   3.55034
 363 │ 0.99287   0.750626   3.55201
 364 │ 1.05493   0.750626   3.55547
 365 │ 1.20801   0.938001   1.36043
 366 │ 1.20566   0.937998   1.36004
 367 │ 1.10007   0.938924   1.31704
 368 │ 1.08399   0.939119   1.30906
 369 │ 1.24899   0.755642   3.53073
 370 │ 1.0546    0.938122   1.32754
 371 │ 1.02717   0.936753   1.35512
 372 │ 0.969078  0.933963   1.40946
 373 │ 0.946055  0.933814   1.40858
 374 │ 0.885693  0.934069   1.39128
 375 │ 0.870385  0.935581   1.35265
 376 │ 0.861655  0.936699   1.32398
 377 │ 0.87295   0.935376   1.35806
 378 │ 0.974005  0.933937   1.41099
 379 │ 1.00808   0.935368   1.38418
 380 │ 1.04046   0.937439   1.34128
 381 │ 1.07249   0.938866   1.31296
 382 │ 1.11204   0.938633   1.32648
 383 │ 1.14178   0.938488   1.33586
 384 │ 1.17325   0.938332   1.34576
 385 │ 1.17614   0.93828    1.34759
 386 │ 1.24695   0.969556   0.353319
 387 │ 1.22638   0.970054   0.322673
 388 │ 1.00167   0.967509   0.355302
 389 │ 0.948688  0.964127   0.483864
 390 │ 0.905702  0.964967   0.43327
 391 │ 0.8731    0.967321   0.315607
 392 │ 0.931426  0.963989   0.483764
 393 │ 0.858495  1.08242    1.59464
 394 │ 0.936601  0.964074   0.481954
 395 │ 0.976562  0.965616   0.430228
 396 │ 1.00525   0.967751   0.345605
 397 │ 1.24528   0.969599   0.350745
 398 │ 1.22212   0.970129   0.317563
 399 │ 1.23641   0.969822   0.337209
 400 │ 1.24958   0.780334   3.34705
 401 │ 0.851475  1.14653    2.35166
 402 │ 1.12122   1.00117   -7.2135
 403 │ 0.938314  0.999208  -6.50616
 404 │ 0.946923  1.03309    0.328799
 405 │ 0.929414  1.03303    0.332165
 406 │ 0.861536  1.0288     0.169494
 407 │ 0.872811  1.02953    0.199028
 408 │ 0.853917  1.02812    0.139895
 409 │ 0.857632  1.0285     0.156642
 410 │ 0.870142  1.02937    0.192626
 411 │ 0.905392  1.03178    0.287691
 412 │ 0.939704  1.03301    0.327765
 413 │ 0.977322  1.03191    0.267292
 414 │ 0.997394  1.03036    0.190078
 415 │ 1.2385    0.969771   0.340321
 416 │ 0.932126  1.05968    1.14621
 417 │ 0.90833   1.0598     1.15342
 418 │ 0.861426  1.05695    1.09608
 419 │ 0.873586  1.05771    1.11164
 420 │ 0.853471  1.05649    1.08668
 421 │ 0.85156   1.05638    1.08442
 422 │ 0.869766  1.05747    1.10661
 423 │ 0.885191  1.05879    1.13446
 424 │ 0.911224  1.05976    1.15186
 425 │ 1.01325   1.05778    1.086
 426 │ 0.936471  1.08344    1.60067
 427 │ 0.907953  1.08387    1.61142
 428 │ 0.861229  1.0826     1.59718
 429 │ 0.853349  1.08211    1.59019
 430 │ 0.851803  1.08202    1.58905
 431 │ 0.869587  1.08347    1.60999
 432 │ 0.912454  1.08379    1.60948
 433 │ 1.04015   1.0831     1.58117
 434 │ 0.851991  1.12313    2.12629
 435 │ 0.889078  1.10523    1.91616
 436 │ 0.858113  1.05676    1.09222
 437 │ 1.09892   1.12327    2.10579
 438 │ 1.12021   1.12206    2.09075
