config = (n = 2, d = (:one_d_for_all, 40), GN = 200, time_interval = [0.0, 1.0], p_true = [[1.0, 1.0]], ic = [100.0, 100.0], num_points = 100, sample_range = 0.2, distance = Main.DynamicalSystems.log_L2_norm, model_func = Main.DynamicalSystems.define_lotka_volterra_2D_model_v3, basis = :chebyshev, precision = RationalPrecision, my_eps = 0.02, fine_step = 0.002, coarse_step = 0.02, plot_range = StepRangeLen{Float64, Base.TwicePrecision{Float64}, Base.TwicePrecision{Float64}, Int64}[-0.22:0.002:0.22, -0.22:0.002:0.22], plot_range_coarse = StepRangeLen{Float64, Base.TwicePrecision{Float64}, Base.TwicePrecision{Float64}, Int64}[-0.22:0.02:0.22, -0.22:0.02:0.22], p_center = [1.05, 0.95])


Condition number of the Vandermonde system: 4.00000000000004
L2 norm (error of approximation): 0.5351622741250043
Polynomial system:
   Number of sols: 1521
   Bezout bound: [39, 39] which is 1521
Critical points found:
451×3 DataFrame
 Row │ x1        x2        z
     │ Float64   Float64   Float64
─────┼────────────────────────────────
 179 │ 1.20022   0.821384   2.99721
 180 │ 1.22545   0.821476   2.99823
 181 │ 1.12751   0.820892   2.99639
 182 │ 1.07812   0.820749   2.99407
 183 │ 0.912872  0.821628   2.97364
 184 │ 0.892037  0.821278   2.97535
 185 │ 0.887784  0.821178   2.97597
 186 │ 0.909735  0.821587   2.97379
 187 │ 0.93763   0.821806   2.97382
 188 │ 1.09784   0.820524   2.9976
 189 │ 1.19729   0.82139    2.99694
 190 │ 1.20999   0.821347   2.99827
 191 │ 1.24955   0.799171   3.19544
 192 │ 1.23819   0.798954   3.19649
 193 │ 1.22045   0.798839   3.19627
 194 │ 1.15456   0.798502   3.19471
 195 │ 1.08626   0.798376   3.19121
 196 │ 1.044     0.798618   3.18637
 197 │ 0.856387  0.80318    3.1349
 198 │ 0.913406  0.799175   3.17293
 199 │ 0.892379  0.79898    3.17316
 200 │ 0.887631  0.798912   3.17341
 201 │ 0.909796  0.799151   3.17289
 202 │ 0.937483  0.799256   3.17386
 203 │ 1.07046   0.798392   3.19003
 204 │ 1.0978    0.798347   3.19222
 205 │ 1.21454   0.798849   3.1958
 206 │ 1.22572   0.798823   3.19676
 207 │ 1.24958   0.780334   3.34705
 208 │ 1.1791    0.779855   3.34643
 209 │ 1.11918   0.779756   3.3435
 210 │ 1.08679   0.779811   3.34108
 211 │ 1.05266   0.779837   3.33876
 212 │ 1.01355   0.78001    3.33499
 213 │ 0.913852  0.780396   3.32577
 214 │ 0.891807  0.780281   3.32531
 215 │ 0.859446  0.779322   3.3308
 216 │ 0.851731  0.778761   3.33472
 217 │ 0.909807  0.780383   3.32562
 218 │ 0.887955  0.780246   3.32534
 219 │ 0.937248  0.780428   3.32698
 220 │ 1.04004   0.779834   3.33801
 221 │ 1.06864   0.779827   3.33983
 222 │ 1.24373   0.806846   3.12991
 223 │ 1.09814   0.779793   3.34192
 224 │ 1.12632   0.779739   3.34408
 225 │ 1.22846   0.78011    3.34749
 226 │ 1.21916   0.755638   3.52908
 227 │ 1.17464   0.755568   3.52707
 228 │ 1.14642   0.75558    3.52539
 229 │ 1.11676   0.755591   3.52363
 230 │ 1.08609   0.755602   3.52182
 231 │ 1.05481   0.755609   3.52
 232 │ 1.02307   0.75561    3.51818
 233 │ 0.85719   0.825435   2.93352
 234 │ 0.871312  0.765304   3.43853
 235 │ 0.909967  0.765818   3.43698
 236 │ 0.852062  0.764839   3.44086
 237 │ 0.936794  0.765828   3.43849
 238 │ 1.00878   0.765431   3.44568
 239 │ 1.0375    0.765437   3.44732
 240 │ 1.06811   0.76543    3.44917
 241 │ 1.24484   0.829825   2.9212
 242 │ 1.09873   0.765409   3.45112
 243 │ 1.12781   0.76538    3.45303
 244 │ 1.15404   0.765349   3.4548
 245 │ 1.22298   0.759523   3.50137
 246 │ 0.851562  0.906847   1.92223
 247 │ 0.949417  0.75926    3.48758
 248 │ 0.89211   0.759039   3.4859
 249 │ 0.877235  0.758768   3.48701
 250 │ 1.21061   0.759424   3.50138
 251 │ 1.24863   0.771279   3.41618
 252 │ 1.20595   0.771064   3.41526
 253 │ 1.00478   0.770392   3.40831
 254 │ 0.851211  0.87874    2.33952
 255 │ 0.95698   0.770352   3.40575
 256 │ 0.876699  0.769722   3.4057
 257 │ 0.886153  0.769757   3.40601
 258 │ 0.941331  0.770226   3.40576
 259 │ 0.850154  0.875116   2.38657
 260 │ 1.18982   0.770897   3.41555
 261 │ 1.24914   0.787215   3.29291
 262 │ 1.18503   0.786795   3.2922
 263 │ 1.04952   0.785791   3.29162
 264 │ 0.960858  0.785356   3.28948
 265 │ 0.89135   0.784425   3.29249
 266 │ 0.876142  0.784335   3.29225
 267 │ 0.863995  0.784424   3.29077
 268 │ 0.867039  0.784372   3.29138
 269 │ 0.887045  0.784387   3.29252
 270 │ 0.940152  0.785073   3.29042
 271 │ 1.03764   0.785826   3.29059
 272 │ 1.16558   0.786549   3.29293
 273 │ 1.24934   0.806849   3.13028
 274 │ 1.24121   0.806846   3.12974
 275 │ 1.16096   0.806338   3.1286
 276 │ 1.07829   0.805194   3.13279
 277 │ 0.964135  0.803951   3.13566
 278 │ 0.893181  0.802788   3.14079
